date,quarter_label,cpi
2020-03-31,2020.1/4,100.06
2020-06-30,2020.2/4,99.55
2020-09-30,2020.3/4,100.19
2020-12-31,2020.4/4,100.2
2021-03-31,2021.1/4,101.49
2021-06-30,2021.2/4,102.03
2021-09-30,2021.3/4,102.73
2021-12-31,2021.4/4,103.75
2022-03-31,2022.1/4,105.46
2022-06-30,2022.2/4,107.51
2022-09-30,2022.3/4,108.73
2022-12-31,2022.4/4,109.16
2023-03-31,2023.1/4,110.31
2023-06-30,2023.2/4,111.02
2023-09-30,2023.3/4,112.14
2023-12-31,2023.4/4,112.89
2024-03-31,2024.1/4,113.63
2024-06-30,2024.2/4,113.98
2024-09-30,2024.3/4,114.44
2024-12-31,2024.4/4,114.67
2025-03-31,2025.1/4,116.03
2025-06-30,2025.2/4,116.32
2025-09-30,2025.3/4,116.68
2025-12-31,2025.4/4,117.4
